  no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs
95   3945.950000   9.481400   0.000000   11.263900   57822.000000   0.000000
96   3996.280000   9.530600   0.000000   11.312700   57822.000000   0.000000
97   4046.620000   9.577700   0.000000   11.360400   57822.000000   0.000000
98   4096.950000   9.623200   0.000000   11.406900   57822.000000   0.000000
99   4147.280000   9.667300   0.000000   11.452100   57822.000000   0.000000
100   4197.610000   9.710000   0.000000   11.496200   57822.000000   0.000000
101   4247.940000   9.751300   0.000000   11.539100   57822.000000   0.000000
102   4298.270000   9.791400   0.000000   11.580900   57822.000000   0.000000
103   4348.600000   9.830400   0.000000   11.621600   57822.000000   0.000000
104   4398.930000   9.868200   0.000000   11.661200   57822.000000   0.000000
105   4449.260000   9.905100   0.000000   11.699800   57822.000000   0.000000
106   4499.600000   9.941000   0.000000   11.737300   57822.000000   0.000000
107   4549.930000   9.976100   0.000000   11.773700   57822.000000   0.000000
108   4600.260000   10.010300   0.000000   11.809200   57822.000000   0.000000
109   4650.590000   10.043900   0.000000   11.843700   57822.000000   0.000000
110   4700.920000   10.076800   0.000000   11.877200   57822.000000   0.000000
111   4801.580000   10.141500   0.000000   11.941400   57822.000000   0.000000
112   4851.910000   10.173900   0.000000   11.972200   57822.000000   0.000000
113   4902.240000   10.204900   0.000000   12.000100   57822.000000   0.000000
114   4952.580000   10.232900   0.000000   12.031100   57822.000000   0.000000
115   5002.910000   10.256500   0.000000   12.059300   57822.000000   0.000000
116   5053.240000   10.274500   0.000000   12.086700   57822.000000   0.000000
117   5103.570000   10.285400   0.000000   12.113300   57822.000000   0.000000
118   5153.500000   10.289000   0.000000   12.139100   57822.000000   0.000000
119   5153.500000   11.042700   3.504300   12.703700   633.260000   85.030000
120   5204.610000   11.058500   3.518700   12.728900   629.890000   85.030000
121   5255.320000   11.071800   3.531400   12.753000   626.870000   85.030000
122   5306.040000   11.085000   3.543500   12.776000   624.080000   85.030000
123   5356.750000   11.098300   3.555100   12.798000   621.500000   85.030000
124   5407.460000   11.116600   3.566100   12.818800   619.710000   85.030000
125   5458.170000   11.131600   3.576500   12.838700   617.780000   85.030000
126   5508.890000   11.145700   3.586400   12.857400   615.930000   85.030000
127   5559.600000   11.159000   3.595700   12.875100   614.210000   85.030000
128   5610.310000   11.171500   3.604400   12.891700   612.620000   85.030000
129   5661.000000   11.183000   3.613000   12.907000   611.180000   85.030000
130   5711.740000   11.194100   3.620200   12.921700   609.740000   85.030000
131   5813.160000   11.213400   3.633700   12.947400   607.310000   85.030000
132   5863.870000   11.221900   3.639600   12.958600   606.260000   85.030000
133   5914.590000   11.229500   3.645000   12.968800   605.280000   85.030000
134   5965.300000   11.236400   3.649800   12.977900   604.440000   85.030000
135   6016.010000   11.242400   3.654000   12.985900   603.690000   85.030000
136   6066.720000   11.247700   3.657700   12.992900   603.040000   85.030000
137   6117.440000   11.252100   3.660800   12.998800   602.490000   85.030000
138   6168.150000   11.255700   3.663300   13.003600   602.050000   85.030000
139   6218.860000   11.258600   3.665300   13.007400   601.700000   85.030000
140   6269.570000   11.260600   3.666700   13.010000   601.460000   85.030000
141   6320.290000   11.261800   3.667500   13.011700   601.320000   85.030000
142   6371.000000   11.262200   3.667800   13.012200   601.270000   85.030000
