  no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs
105    958.00   11.3897    6.3519    4.5654   1243.02    515.46
106    968.00   11.4060    6.3588    4.5709   1241.31    514.40
107    978.00   11.4223    6.3657    4.5764   1239.59    513.33
108    988.00   11.4386    6.3726    4.5819   1237.88    512.27
109    998.00   11.4549    6.3795    4.5874   1236.17    511.21
110   1007.50   11.4704    6.3860    4.5926   1234.54    510.20
111   1017.50   11.4863    6.3925    4.5981   1232.92    509.16
112   1027.50   11.5023    6.3990    4.6036   1231.30    508.12
113   1037.50   11.5182    6.4055    4.6091   1229.68    507.08
114   1047.50   11.5342    6.4120    4.6146   1228.06    506.04
115   1057.00   11.5493    6.4182    4.6198   1226.52    505.05
116   1067.00   11.5649    6.4249    4.6252   1224.78    504.03
117   1077.00   11.5805    6.4316    4.6307   1223.04    503.01
118   1087.00   11.5961    6.4383    4.6361   1221.30    501.99
119   1097.00   11.6117    6.4450    4.6415   1219.56    500.97
120   1106.50   11.6265    6.4514    4.6467   1217.91    500.00
121   1116.50   11.6418    6.4576    4.6521   1216.32    499.00
122   1126.50   11.6570    6.4638    4.6575   1214.72    498.00
123   1136.50   11.6723    6.4701    4.6629   1213.13    497.00
124   1146.50   11.6875    6.4763    4.6684   1211.53    496.00
125   1156.00   11.7020    6.4822    4.6735   1210.02    495.05
126   1166.00   11.7171    6.4884    4.6789   1208.41    494.07
127   1176.00   11.7322    6.4947    4.6842   1206.80    493.09
128   1186.00   11.7473    6.5009    4.6896   1205.18    492.11
129   1196.00   11.7624    6.5072    4.6950   1203.57    491.13
130   1205.50   11.7768    6.5131    4.7001   1202.04    490.20
131   1215.50   11.7914    6.5192    4.7055   1200.41    489.24
132   1225.50   11.8060    6.5252    4.7108   1198.79    488.28
133   1235.50   11.8206    6.5313    4.7162   1197.16    487.32
134   1245.50   11.8352    6.5373    4.7215   1195.53    486.35
135   1255.00   11.8491    6.5431    4.7266   1193.99    485.44
136   1265.00   11.8636    6.5491    4.7319   1192.39    484.50
137   1275.00   11.8781    6.5551    4.7372   1190.79    483.55
138   1285.00   11.8926    6.5611    4.7425   1189.18    482.61
139   1295.00   11.9070    6.5671    4.7478   1187.58    481.67
140   1304.50   11.9208    6.5728    4.7528   1186.06    480.77
141   1314.50   11.9346    6.5785    4.7581   1184.47    479.84
142   1324.50   11.9484    6.5842    4.7634   1182.88    478.92
143   1334.50   11.9622    6.5898    4.7687   1181.29    477.99
144   1344.50   11.9760    6.5955    4.7740   1179.70    477.07
145   1354.00   11.9891    6.6009    4.7790   1178.19    476.19
146   1364.00   12.0028    6.6065    4.7843   1176.64    475.28
147   1374.00   12.0166    6.6121    4.7895   1175.10    474.38
148   1384.00   12.0303    6.6176    4.7948   1173.55    473.47
149   1394.00   12.0440    6.6232    4.8000   1172.00    472.56
150   1403.50   12.0571    6.6285    4.8050   1170.53    471.70
151   1413.50   12.0708    6.6339    4.8102   1169.04    470.81
152   1423.50   12.0844    6.6394    4.8154   1167.55    469.92
153   1433.50   12.0981    6.6448    4.8206   1166.06    469.03
154   1443.50   12.1117    6.6502    4.8258   1164.57    468.14
155   1453.00   12.1247    6.6554    4.8307   1163.16    467.29
156   1463.00   12.1381    6.6606    4.8359   1161.72    466.42
157   1473.00   12.1516    6.6659    4.8410   1160.28    465.54
158   1483.00   12.1650    6.6711    4.8462   1158.84    464.67
159   1493.00   12.1784    6.6763    4.8513   1157.41    463.79
160   1502.50   12.1912    6.6813    4.8562   1156.04    462.96
161   1512.50   12.2043    6.6865    4.8614   1154.57    462.10
162   1522.50   12.2173    6.6917    4.8665   1153.10    461.25
163   1532.50   12.2304    6.6969    4.8717   1151.63    460.39
164   1542.50   12.2434    6.7021    4.8768   1150.16    459.53
165   1552.00   12.2558    6.7070    4.8817   1148.76    458.72
166   1562.00   12.2684    6.7121    4.8868   1147.26    457.88
167   1572.00   12.2810    6.7172    4.8919   1145.75    457.04
168   1582.00   12.2936    6.7223    4.8970   1144.25    456.19
169   1592.00   12.3061    6.7274    4.9021   1142.75    455.35
170   1601.50   12.3181    6.7323    4.9069   1141.32    454.55
171   1611.50   12.3309    6.7375    4.9120   1139.84    453.72
172   1621.50   12.3436    6.7426    4.9171   1138.37    452.89
173   1631.50   12.3564    6.7478    4.9222   1136.89    452.07
174   1641.50   12.3692    6.7530    4.9273   1135.41    451.24
175   1651.00   12.3813    6.7579    4.9321   1134.01    450.45
176   1661.00   12.3937    6.7628    4.9371   1132.60    449.64
177   1671.00   12.4061    6.7676    4.9422   1131.19    448.83
178   1681.00   12.4185    6.7725    4.9472   1129.77    448.01
179   1691.00   12.4309    6.7774    4.9522   1128.36    447.20
180   1700.50   12.4427    6.7820    4.9570   1127.02    446.43
181   1710.50   12.4549    6.7868    4.9620   1125.62    445.63
182   1720.50   12.4671    6.7915    4.9670   1124.22    444.83
183   1730.50   12.4792    6.7963    4.9720   1122.82    444.04
184   1740.50   12.4914    6.8011    4.9770   1121.42    443.24
185   1750.00   12.5030    6.8056    4.9817   1120.09    442.48
186   1760.00   12.5153    6.8103    4.9866   1117.76    441.31
187   1770.00   12.5276    6.8150    4.9916   1115.44    440.14
188   1780.00   12.5398    6.8197    4.9965   1113.11    438.96
189   1790.00   12.5521    6.8244    5.0015   1110.79    437.79
190   1799.50   12.5638    6.8289    5.0062   1108.58    436.68
191   1809.50   12.5757    6.8335    5.0111   1106.27    435.54
192   1819.50   12.5876    6.8381    5.0161   1103.97    434.40
193   1829.50   12.5994    6.8427    5.0210   1101.66    433.26
194   1839.50   12.6113    6.8473    5.0259   1099.35    432.11
195   1849.00   12.6226    6.8517    5.0306   1097.16    431.03
196   1859.00   12.6343    6.8563    5.0355   1094.90    429.92
197   1869.00   12.6461    6.8608    5.0404   1092.64    428.81
198   1879.00   12.6578    6.8654    5.0453   1090.38    427.70
199   1889.00   12.6695    6.8700    5.0502   1088.12    426.59
200   1898.50   12.6807    6.8743    5.0548   1085.97    425.53
201   1908.50   12.6924    6.8789    5.0597   1082.82    424.09
202   1918.50   12.7040    6.8836    5.0645   1079.67    422.65
203   1928.50   12.7157    6.8882    5.0694   1076.52    421.21
204   1938.50   12.7273    6.8928    5.0743   1073.37    419.78
205   1948.00   12.7384    6.8972    5.0789   1070.38    418.41
206   1958.00   12.7500    6.9017    5.0837   1069.14    417.71
207   1968.00   12.7615    6.9062    5.0885   1067.90    417.01
208   1978.00   12.7731    6.9107    5.0933   1066.65    416.31
209   1988.00   12.7846    6.9151    5.0981   1065.41    415.61
210   1997.50   12.7956    6.9194    5.1027   1064.23    414.94
211   2007.50   12.8071    6.9239    5.1075   1062.98    414.25
212   2017.50   12.8185    6.9284    5.1123   1061.72    413.56
213   2027.50   12.8300    6.9329    5.1171   1060.47    412.87
214   2037.50   12.8415    6.9373    5.1219   1059.22    412.18
215   2047.00   12.8524    6.9416    5.1264   1058.03    411.52
216   2057.00   12.8639    6.9458    5.1311   1056.02    410.51
217   2067.00   12.8754    6.9500    5.1359   1054.01    409.49
218   2077.00   12.8869    6.9543    5.1406   1052.01    408.48
219   2087.00   12.8984    6.9585    5.1454   1050.00    407.46
220   2096.50   12.9093    6.9625    5.1499   1048.09    406.50
221   2106.50   12.9208    6.9671    5.1546   1046.87    405.84
222   2116.50   12.9323    6.9717    5.1593   1045.66    405.18
223   2126.50   12.9438    6.9763    5.1640   1044.44    404.52
224   2136.50   12.9554    6.9808    5.1687   1043.23    403.86
225   2146.00   12.9663    6.9852    5.1732   1042.07    403.23
226   2156.00   12.9777    6.9896    5.1779   1040.06    402.26
227   2166.00   12.9890    6.9940    5.1825   1038.06    401.28
228   2176.00   13.0004    6.9984    5.1872   1036.05    400.31
229   2186.00   13.0118    7.0027    5.1919   1034.05    399.34
230   2195.50   13.0226    7.0069    5.1963   1032.14    398.41
231   2205.50   13.0339    7.0113    5.2009   1029.36    397.15
232   2215.50   13.0452    7.0157    5.2056   1026.58    395.88
233   2225.50   13.0565    7.0201    5.2102   1023.80    394.62
234   2235.50   13.0679    7.0244    5.2148   1021.02    393.36
235   2245.00   13.0786    7.0286    5.2192   1018.38    392.16
236   2255.00   13.0897    7.0330    5.2238   1016.44    391.24
237   2265.00   13.1009    7.0374    5.2284   1014.51    390.32
238   2275.00   13.1120    7.0418    5.2330   1012.57    389.40
239   2285.00   13.1231    7.0462    5.2376   1010.63    388.48
240   2294.50   13.1337    7.0504    5.2420   1008.79    387.60
241   2304.50   13.1450    7.0548    5.2466   1006.90    386.70
242   2314.50   13.1562    7.0592    5.2511   1005.01    385.80
243   2324.50   13.1675    7.0636    5.2557   1003.12    384.90
244   2334.50   13.1788    7.0680    5.2603   1001.23    384.00
245   2344.00   13.1895    7.0722    5.2646    999.44    383.14
246   2354.00   13.2010    7.0764    5.2691    997.69    382.26
247   2364.00   13.2125    7.0807    5.2737    995.94    381.38
248   2374.00   13.2240    7.0849    5.2782    994.19    380.50
249   2384.00   13.2356    7.0892    5.2827    992.43    379.62
250   2393.50   13.2465    7.0932    5.2870    990.77    378.79
251   2403.50   13.2577    7.0975    5.2915    989.73    378.21
252   2413.50   13.2688    7.1018    5.2960    988.69    377.64
253   2423.50   13.2800    7.1060    5.3005    987.65    377.06
254   2433.50   13.2911    7.1103    5.3049    986.62    376.49
255   2443.00   13.3017    7.1144    5.3092    985.63    375.94
256   2453.00   13.3132    7.1189    5.3137    983.85    375.09
257   2463.00   13.3246    7.1235    5.3181    982.07    374.25
258   2473.00   13.3361    7.1280    5.3226    980.28    373.40
259   2483.00   13.3475    7.1325    5.3271    978.50    372.55
260   2492.50   13.3584    7.1368    5.3313    976.81    371.75
261   2502.50   13.3700    7.1412    5.3357    975.12    370.92
262   2512.50   13.3815    7.1455    5.3401    973.44    370.09
263   2522.50   13.3931    7.1499    5.3445    971.75    369.27
264   2532.50   13.4046    7.1543    5.3489    970.06    368.44
265   2542.00   13.4156    7.1584    5.3531    968.46    367.65
266   2552.00   13.4274    7.1628    5.3575    966.82    366.84
267   2562.00   13.4392    7.1673    5.3619    965.19    366.03
268   2572.00   13.4511    7.1717    5.3663    963.55    365.22
269   2582.00   13.4629    7.1762    5.3706    961.91    364.41
270   2591.50   13.4741    7.1804    5.3748    960.36    363.64
271   2601.50   13.4859    7.1851    5.3792    958.64    362.83
272   2611.50   13.4976    7.1898    5.3836    956.91    362.02
273   2621.50   13.5094    7.1944    5.3880    955.19    361.21
274   2631.50   13.5211    7.1991    5.3924    953.47    360.40
275   2640.00   13.5311    7.2031    5.3962    952.00    359.71
276   2650.00   13.5429    7.2075    5.4005    949.78    358.69
277   2660.00   13.5546    7.2120    5.4048    947.55    357.67
278   2670.00   13.5664    7.2164    5.4090    945.33    356.65
279   2680.00   13.5781    7.2209    5.4133    943.10    355.63
280   2690.00   13.5899    7.2253    5.4176    940.88    354.61
281   2700.00   13.6019    7.2299    5.4218    939.35    353.86
282   2710.00   13.6139    7.2346    5.4260    937.81    353.12
283   2720.00   13.6258    7.2392    5.4303    936.28    352.37
284   2730.00   13.6378    7.2439    5.4345    934.74    351.63
285   2740.00   13.6498    7.2485    5.4387    933.21    350.88
286   2740.00   13.6498    7.2485    5.6934    722.73    271.74
287   2750.00   13.6505    7.2507    5.6987    723.56    272.19
288   2760.00   13.6512    7.2528    5.7039    724.40    272.64
