no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
107   672.5   10.598   5.9707   4.2433   1347.5   548.99   
108   673.0   10.5987   5.9726   4.2442   1346.92   548.9   
109   673.5   10.5993   5.9745   4.2451   1346.33   548.81   
110   674.0   10.6   5.9764   4.246   1345.74   548.72   
111   674.5   10.6007   5.9784   4.2469   1345.15   548.63   
112   675.0   10.6014   5.9803   4.2478   1344.56   548.54   
113   675.5   10.602   5.9822   4.2487   1343.97   548.45   
114   676.0   10.6027   5.9842   4.2496   1343.39   548.37   
115   676.5   10.6034   5.9861   4.2505   1342.8   548.28   
116   677.0   10.6041   5.988   4.2514   1342.21   548.19   
117   677.5   10.6047   5.9899   4.2523   1341.62   548.1   
118   678.0   10.6054   5.9919   4.2532   1341.03   548.01   
119   678.5   10.6061   5.9938   4.2541   1340.44   547.92   
120   679.0   10.6067   5.9957   4.255   1339.86   547.83   
121   679.5   10.6074   5.9977   4.2559   1339.27   547.74   
122   680.0   10.6081   5.9996   4.2567   1338.68   547.65   
123   680.5   10.6088   6.0015   4.2576   1338.09   547.56   
124   681.0   10.6094   6.0035   4.2585   1337.5   547.47   
125   681.5   10.6101   6.0054   4.2594   1336.91   547.38   
126   682.0   10.6108   6.0073   4.2603   1336.33   547.29   
127   682.5   10.6115   6.0092   4.2612   1335.74   547.21   
128   683.0   10.61   6.0112   4.2621   1335.15   547.12   
129   683.5   10.6078   6.0131   4.263   1334.56   547.03   
130   684.0   10.6056   6.015   4.2639   1333.97   546.94   
131   684.5   10.6033   6.017   4.2648   1333.38   546.85   
132   685.0   10.6011   6.0189   4.2657   1332.8   546.76   
133   685.5   10.5989   6.0208   4.2666   1332.21   546.67   
134   686.0   10.5966   6.0227   4.2675   1331.62   546.58   
135   686.5   10.5944   6.0247   4.2684   1331.03   546.49   
136   687.0   10.5922   6.0266   4.2693   1330.44   546.4   
137   687.5   10.59   6.0285   4.2702   1329.85   546.31   
138   688.0   10.5877   6.0305   4.2711   1329.27   546.22   
139   688.5   10.5855   6.0324   4.272   1328.68   546.13   
140   689.0   10.5833   6.0343   4.2729   1328.09   546.05   
141   689.5   10.581   6.0363   4.2738   1327.5   545.96   
142   690.0   10.5788   6.0382   4.2746   1326.92   545.87   
143   710.0   10.6726   6.0898   4.2986   1311.17   543.48   
144   730.0   10.7199   6.1379   4.3218   1297.87   541.14   
145   750.0   10.7786   6.186   4.3449   1284.58   538.8   
146   760.0   10.8746   6.21   4.3565   1277.93   537.63   
147   809.5   11.0725   6.2424   4.4118   1269.44   531.91   
148   859.0   11.0588   6.2799   4.465   1260.68   526.32   
149   908.5   11.2578   6.3164   4.5162   1251.69   520.83   
150   958.0   11.3897   6.3519   4.5654   1243.02   515.46   
151   1007.5   11.4704   6.386   4.5926   1234.54   510.2   
152   1057.0   11.5493   6.4182   4.6198   1226.52   505.05   
153   1106.5   11.6265   6.4514   4.6467   1217.91   500.0   
154   1156.0   11.702   6.4822   4.6735   1210.02   495.05   
155   1205.5   11.7768   6.5131   4.7001   1202.04   490.2   
156   1255.0   11.8491   6.5431   4.7266   1193.99   485.44   
157   1304.5   11.9208   6.5728   4.7528   1186.06   480.77   
158   1354.0   11.9891   6.6009   4.779   1178.19   476.19   
159   1403.5   12.0571   6.6285   4.805   1170.53   471.7   
160   1453.0   12.1247   6.6554   4.8307   1163.16   467.29   
161   1502.5   12.1912   6.6813   4.8562   1156.04   462.96   
162   1552.0   12.2558   6.707   4.8817   1148.76   458.72   
163   1601.5   12.3181   6.7323   4.9069   1141.32   454.55   
164   1651.0   12.3813   6.7579   4.9321   1134.01   450.45   
165   1700.5   12.4427   6.782   4.957   1127.02   446.43   
166   1750.0   12.503   6.8056   4.9817   1120.09   442.48   
167   1799.5   12.5638   6.8289   5.0062   1108.58   436.68   
168   1849.0   12.6226   6.8517   5.0306   1097.16   431.03   
169   1898.5   12.6807   6.8743   5.0548   1085.97   425.53   
170   1948.0   12.7384   6.8972   5.0789   1070.38   418.41   
171   1997.5   12.7956   6.9194   5.1027   1064.23   414.94   
172   2047.0   12.8524   6.9416   5.1264   1058.03   411.52   
173   2096.5   12.9093   6.9625   5.1499   1048.09   406.5   
174   2146.0   12.9663   6.9852   5.1732   1042.07   403.23   
175   2195.5   13.0226   7.0069   5.1963   1032.14   398.41   
176   2245.0   13.0786   7.0286   5.2192   1018.38   392.16   
