no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
102   4298.27   9.7914   0.0   11.5809   57822.0   0.0   
103   4348.6   9.8304   0.0   11.6216   57822.0   0.0   
104   4398.93   9.8682   0.0   11.6612   57822.0   0.0   
105   4449.26   9.9051   0.0   11.6998   57822.0   0.0   
106   4499.6   9.941   0.0   11.7373   57822.0   0.0   
107   4549.93   9.9761   0.0   11.7737   57822.0   0.0   
108   4600.26   10.0103   0.0   11.8092   57822.0   0.0   
109   4650.59   10.0439   0.0   11.8437   57822.0   0.0   
110   4700.92   10.0768   0.0   11.8772   57822.0   0.0   
111   4801.58   10.1415   0.0   11.9414   57822.0   0.0   
112   4851.91   10.1739   0.0   11.9722   57822.0   0.0   
113   4902.24   10.2049   0.0   12.0001   57822.0   0.0   
114   4952.58   10.2329   0.0   12.0311   57822.0   0.0   
115   5002.91   10.2565   0.0   12.0593   57822.0   0.0   
116   5053.24   10.2745   0.0   12.0867   57822.0   0.0   
117   5103.57   10.2854   0.0   12.1133   57822.0   0.0   
118   5153.5   10.289   0.0   12.1391   57822.0   0.0   
119   5153.5   11.0427   3.5043   12.7037   633.26   85.03   
120   5204.61   11.0585   3.5187   12.7289   629.89   85.03   
121   5255.32   11.0718   3.5314   12.753   626.87   85.03   
122   5306.04   11.085   3.5435   12.776   624.08   85.03   
123   5356.75   11.0983   3.5551   12.798   621.5   85.03   
124   5407.46   11.1166   3.5661   12.8188   619.71   85.03   
125   5458.17   11.1316   3.5765   12.8387   617.78   85.03   
126   5508.89   11.1457   3.5864   12.8574   615.93   85.03   
127   5559.6   11.159   3.5957   12.8751   614.21   85.03   
128   5610.31   11.1715   3.6044   12.8917   612.62   85.03   
129   5661.0   11.183   3.613   12.907   611.18   85.03   
130   5711.74   11.1941   3.6202   12.9217   609.74   85.03   
131   5813.16   11.2134   3.6337   12.9474   607.31   85.03   
132   5863.87   11.2219   3.6396   12.9586   606.26   85.03   
133   5914.59   11.2295   3.645   12.9688   605.28   85.03   
134   5965.3   11.2364   3.6498   12.9779   604.44   85.03   
135   6016.01   11.2424   3.654   12.9859   603.69   85.03   
136   6066.72   11.2477   3.6577   12.9929   603.04   85.03   
137   6117.44   11.2521   3.6608   12.9988   602.49   85.03   
138   6168.15   11.2557   3.6633   13.0036   602.05   85.03   
139   6218.86   11.2586   3.6653   13.0074   601.7   85.03   
140   6269.57   11.2606   3.6667   13.01   601.46   85.03   
141   6320.29   11.2618   3.6675   13.0117   601.32   85.03   
142   6371.0   11.2622   3.6678   13.0122   601.27   85.03   
loss1_vel:0.007236534301044602
loss2_dep:0.5962237614678848
loss3_thi:2.3310908333541325
loss1:0.24121781003482007
loss2:0.01987412538226283
loss3:0.07770302777847109
loss:0.2274181306557613
mse_pre_modified:0.07917783612566964
modify_660:648.1549682617188
pre_660:648.7512114644051
mse_660:0.59625244140625
modi_thickness:18.96202278137207
pre_thickness:21.293114125728607
mse_thickness:2.3310909271240234
diff_pre_modi:-0.03450688694678661,-0.02530265798952236,0.007624740373046279,0.04199658366488457,-0.025422870885556392,0.004750390032233653,0.053590339147570276,-0.004225166537723979,-0.09014526131450928,0.2604680723496138,0.031691182804548745,-0.04537127290969423,-0.013562789209176529,0.00388958514378146,0.08714203951210564,
change_layer:18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,
