no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
107   672.5   10.1573   5.6344   3.9419   491.77   198.69   
108   673.0   10.1567   5.6478   3.9541   527.03   213.09   
109   673.5   10.1561   5.6612   3.9663   562.29   227.5   
110   674.0   10.1555   5.6746   3.9785   597.55   241.9   
111   674.5   10.1549   5.688   3.9906   632.81   256.3   
112   675.0   10.1571   5.7014   4.0028   668.07   270.7   
113   675.5   10.1567   5.7148   4.015   703.33   285.1   
114   676.0   10.1605   5.7282   4.0272   738.59   299.51   
115   676.5   10.1776   5.7416   4.0394   773.85   313.91   
116   677.0   10.1993   5.755   4.0516   809.11   328.31   
117   677.5   10.2041   5.7684   4.0638   844.37   342.71   
118   678.0   10.2043   5.7818   4.076   879.64   357.11   
119   678.5   10.2044   5.7952   4.0881   914.9   371.52   
120   679.0   10.2065   5.8086   4.1003   950.16   385.92   
121   679.5   10.2414   5.822   4.1125   985.42   400.32   
122   680.0   10.2499   5.8354   4.1247   1020.68   414.72   
123   680.5   10.2637   5.8488   4.1369   1055.94   429.12   
124   681.0   10.2651   5.8622   4.1491   1091.2   443.53   
125   681.5   10.2664   5.8756   4.1613   1126.46   457.93   
126   682.0   10.2741   5.8889   4.1734   1161.72   472.33   
127   682.5   10.2747   5.9023   4.1856   1196.98   486.73   
128   683.0   10.323   5.9157   4.1978   1232.24   501.13   
129   683.5   10.3717   5.9291   4.21   1267.5   515.53   
130   684.0   10.4207   5.9425   4.2222   1302.77   529.94   
131   684.5   10.447   5.9559   4.2344   1338.03   544.34   
132   685.0   10.4677   5.9654   4.2409   1349.11   549.23   
133   685.5   10.4883   5.9727   4.2443   1346.89   548.9   
134   686.0   10.509   5.98   4.2476   1344.66   548.56   
135   686.5   10.5296   5.9872   4.251   1342.44   548.22   
136   687.0   10.5503   5.9945   4.2544   1340.22   547.89   
137   687.5   10.571   6.0018   4.2578   1338.0   547.55   
138   688.0   10.5916   6.0091   4.2612   1335.78   547.21   
139   688.5   10.6123   6.0164   4.2645   1333.56   546.88   
140   689.0   10.6329   6.0237   4.2679   1331.34   546.54   
141   689.5   10.6236   6.0309   4.2713   1329.12   546.2   
142   690.0   10.6049   6.0382   4.2746   1326.92   545.87   
143   710.0   10.9342   6.0898   4.2986   1311.17   543.48   
144   730.0   10.9475   6.1379   4.3218   1297.87   541.14   
145   750.0   10.8494   6.186   4.3449   1284.58   538.8   
146   760.0   10.9032   6.21   4.3565   1277.93   537.63   
147   809.5   11.0064   6.2424   4.4118   1269.44   531.91   
148   859.0   11.0934   6.2799   4.465   1260.68   526.32   
149   908.5   11.175   6.3164   4.5162   1251.69   520.83   
150   958.0   11.3897   6.3519   4.5654   1243.02   515.46   
151   1007.5   11.4704   6.386   4.5926   1234.54   510.2   
152   1057.0   11.5493   6.4182   4.6198   1226.52   505.05   
153   1106.5   11.6265   6.4514   4.6467   1217.91   500.0   
154   1156.0   11.702   6.4822   4.6735   1210.02   495.05   
155   1205.5   11.7768   6.5131   4.7001   1202.04   490.2   
156   1255.0   11.8491   6.5431   4.7266   1193.99   485.44   
157   1304.5   11.9208   6.5728   4.7528   1186.06   480.77   
158   1354.0   11.9891   6.6009   4.779   1178.19   476.19   
159   1403.5   12.0571   6.6285   4.805   1170.53   471.7   
160   1453.0   12.1247   6.6554   4.8307   1163.16   467.29   
161   1502.5   12.1912   6.6813   4.8562   1156.04   462.96   
162   1552.0   12.2558   6.707   4.8817   1148.76   458.72   
163   1601.5   12.3181   6.7323   4.9069   1141.32   454.55   
164   1651.0   12.3813   6.7579   4.9321   1134.01   450.45   
165   1700.5   12.4427   6.782   4.957   1127.02   446.43   
166   1750.0   12.503   6.8056   4.9817   1120.09   442.48   
167   1799.5   12.5638   6.8289   5.0062   1108.58   436.68   
168   1849.0   12.6226   6.8517   5.0306   1097.16   431.03   
169   1898.5   12.6807   6.8743   5.0548   1085.97   425.53   
170   1948.0   12.7384   6.8972   5.0789   1070.38   418.41   
171   1997.5   12.7956   6.9194   5.1027   1064.23   414.94   
172   2047.0   12.8524   6.9416   5.1264   1058.03   411.52   
173   2096.5   12.9093   6.9625   5.1499   1048.09   406.5   
174   2146.0   12.9663   6.9852   5.1732   1042.07   403.23   
175   2195.5   13.0226   7.0069   5.1963   1032.14   398.41   
176   2245.0   13.0786   7.0286   5.2192   1018.38   392.16   
177   2294.5   13.1337   7.0504   5.242   1008.79   387.6   
178   2344.0   13.1895   7.0722   5.2646   999.44   383.14   
179   2393.5   13.2465   7.0932   5.287   990.77   378.79   
180   2443.0   13.3017   7.1144   5.3092   985.63   375.94   
181   2492.5   13.3584   7.1368   5.3313   976.81   371.75   
182   2542.0   13.4156   7.1584   5.3531   968.46   367.65   
183   2591.5   13.4741   7.1804   5.3748   960.36   363.64   
184   2640.0   13.5311   7.2031   5.3962   952.0   359.71   
185   2690.0   13.5899   7.2253   5.4176   940.88   354.61   
186   2740.0   13.6498   7.2485   5.4387   933.21   350.88   
187   2740.0   13.6498   7.2485   5.6934   722.73   271.74   
188   2789.67   13.6533   7.2593   5.7196   726.87   273.97   
189   2839.33   13.657   7.27   5.7458   725.11   273.97   
190   2891.5   13.6601   7.2817   5.7721   723.12   273.97   
191   2891.5   8.0   0.0   9.9145   57822.0   0.0   
192   2939.33   8.0382   0.0   9.9942   57822.0   0.0   
193   2989.66   8.1283   0.0   10.0722   57822.0   0.0   
194   3039.99   8.2213   0.0   10.1485   57822.0   0.0   
195   3090.32   8.3122   0.0   10.2233   57822.0   0.0   
196   3140.66   8.4001   0.0   10.2964   57822.0   0.0   
197   3190.99   8.4861   0.0   10.3679   57822.0   0.0   
198   3241.32   8.5692   0.0   10.4378   57822.0   0.0   
199   3291.65   8.6496   0.0   10.5062   57822.0   0.0   
200   3341.98   8.7283   0.0   10.5731   57822.0   0.0   
201   3392.31   8.8036   0.0   10.6385   57822.0   0.0   
202   3442.64   8.8761   0.0   10.7023   57822.0   0.0   
203   3492.97   8.9461   0.0   10.7647   57822.0   0.0   
204   3543.3   9.0138   0.0   10.8257   57822.0   0.0   
205   3593.64   9.0792   0.0   10.8852   57822.0   0.0   
206   3643.97   9.1426   0.0   10.9434   57822.0   0.0   
207   3694.3   9.2042   0.0   11.0001   57822.0   0.0   
208   3744.63   9.2634   0.0   11.0555   57822.0   0.0   
209   3794.96   9.3205   0.0   11.1095   57822.0   0.0   
210   3845.29   9.376   0.0   11.1623   57822.0   0.0   
211   3895.62   9.4297   0.0   11.2137   57822.0   0.0   
212   3945.95   9.4814   0.0   11.2639   57822.0   0.0   
213   3996.28   9.5306   0.0   11.3127   57822.0   0.0   
214   4046.62   9.5777   0.0   11.3604   57822.0   0.0   
215   4096.95   9.6232   0.0   11.4069   57822.0   0.0   
216   4147.28   9.6673   0.0   11.4521   57822.0   0.0   
217   4197.61   9.71   0.0   11.4962   57822.0   0.0   
218   4247.94   9.7513   0.0   11.5391   57822.0   0.0   
219   4298.27   9.7914   0.0   11.5809   57822.0   0.0   
220   4348.6   9.8304   0.0   11.6216   57822.0   0.0   
221   4398.93   9.8682   0.0   11.6612   57822.0   0.0   
222   4449.26   9.9051   0.0   11.6998   57822.0   0.0   
223   4499.6   9.941   0.0   11.7373   57822.0   0.0   
224   4549.93   9.9761   0.0   11.7737   57822.0   0.0   
225   4600.26   10.0103   0.0   11.8092   57822.0   0.0   
226   4650.59   10.0439   0.0   11.8437   57822.0   0.0   
227   4700.92   10.0768   0.0   11.8772   57822.0   0.0   
228   4801.58   10.1415   0.0   11.9414   57822.0   0.0   
229   4851.91   10.1739   0.0   11.9722   57822.0   0.0   
230   4902.24   10.2049   0.0   12.0001   57822.0   0.0   
231   4952.58   10.2329   0.0   12.0311   57822.0   0.0   
232   5002.91   10.2565   0.0   12.0593   57822.0   0.0   
233   5053.24   10.2745   0.0   12.0867   57822.0   0.0   
234   5103.57   10.2854   0.0   12.1133   57822.0   0.0   
235   5153.5   10.289   0.0   12.1391   57822.0   0.0   
236   5153.5   11.0427   3.5043   12.7037   633.26   85.03   
237   5204.61   11.0585   3.5187   12.7289   629.89   85.03   
238   5255.32   11.0718   3.5314   12.753   626.87   85.03   
239   5306.04   11.085   3.5435   12.776   624.08   85.03   
240   5356.75   11.0983   3.5551   12.798   621.5   85.03   
241   5407.46   11.1166   3.5661   12.8188   619.71   85.03   
242   5458.17   11.1316   3.5765   12.8387   617.78   85.03   
243   5508.89   11.1457   3.5864   12.8574   615.93   85.03   
244   5559.6   11.159   3.5957   12.8751   614.21   85.03   
245   5610.31   11.1715   3.6044   12.8917   612.62   85.03   
246   5661.0   11.183   3.613   12.907   611.18   85.03   
247   5711.74   11.1941   3.6202   12.9217   609.74   85.03   
248   5813.16   11.2134   3.6337   12.9474   607.31   85.03   
249   5863.87   11.2219   3.6396   12.9586   606.26   85.03   
250   5914.59   11.2295   3.645   12.9688   605.28   85.03   
251   5965.3   11.2364   3.6498   12.9779   604.44   85.03   
252   6016.01   11.2424   3.654   12.9859   603.69   85.03   
253   6066.72   11.2477   3.6577   12.9929   603.04   85.03   
254   6117.44   11.2521   3.6608   12.9988   602.49   85.03   
255   6168.15   11.2557   3.6633   13.0036   602.05   85.03   
256   6218.86   11.2586   3.6653   13.0074   601.7   85.03   
257   6269.57   11.2606   3.6667   13.01   601.46   85.03   
258   6320.29   11.2618   3.6675   13.0117   601.32   85.03   
259   6371.0   11.2622   3.6678   13.0122   601.27   85.03   
