no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
106   672.0   10.2108   5.9702   4.2431   1347.63   549.01   
107   672.5   10.2121   5.9721   4.244   1347.06   548.92   
108   673.0   10.2134   5.974   4.2449   1346.48   548.83   
109   673.5   10.2211   5.9759   4.2457   1345.91   548.75   
110   674.0   10.236   5.9778   4.2466   1345.33   548.66   
111   674.5   10.2509   5.9797   4.2475   1344.76   548.57   
112   675.0   10.2587   5.9816   4.2484   1344.18   548.49   
113   675.5   10.2783   5.9834   4.2493   1343.61   548.4   
114   676.0   10.2884   5.9853   4.2501   1343.03   548.31   
115   676.5   10.3043   5.9872   4.251   1342.45   548.22   
116   677.0   10.3246   5.9891   4.2519   1341.88   548.14   
117   677.5   10.3401   5.991   4.2528   1341.3   548.05   
118   678.0   10.3549   5.9929   4.2536   1340.73   547.96   
119   678.5   10.3698   5.9948   4.2545   1340.15   547.87   
120   679.0   10.3847   5.9967   4.2554   1339.58   547.79   
121   679.5   10.3995   5.9985   4.2563   1339.0   547.7   
122   680.0   10.4144   6.0004   4.2571   1338.42   547.61   
123   680.5   10.4293   6.0023   4.258   1337.85   547.53   
124   681.0   10.4441   6.0042   4.2589   1337.27   547.44   
125   681.5   10.459   6.0061   4.2598   1336.7   547.35   
126   682.0   10.4739   6.008   4.2606   1336.12   547.26   
127   682.5   10.4887   6.0099   4.2615   1335.55   547.18   
128   683.0   10.5036   6.0118   4.2624   1334.97   547.09   
129   683.5   10.5185   6.0136   4.2633   1334.4   547.0   
130   684.0   10.5333   6.0155   4.2641   1333.82   546.91   
131   684.5   10.5482   6.0174   4.265   1333.24   546.83   
132   685.0   10.5631   6.0193   4.2659   1332.67   546.74   
133   685.5   10.5779   6.0212   4.2668   1332.09   546.65   
134   686.0   10.5852   6.0231   4.2676   1331.52   546.57   
135   686.5   10.5911   6.025   4.2685   1330.94   546.48   
136   687.0   10.5971   6.0269   4.2694   1330.37   546.39   
137   687.5   10.603   6.0287   4.2703   1329.79   546.3   
138   688.0   10.5998   6.0306   4.2711   1329.21   546.22   
139   688.5   10.5949   6.0325   4.272   1328.64   546.13   
140   689.0   10.59   6.0344   4.2729   1328.06   546.04   
141   689.5   10.5799   6.0363   4.2738   1327.49   545.95   
142   690.0   10.5662   6.0382   4.2746   1326.92   545.87   
143   710.0   10.6679   6.0898   4.2986   1311.17   543.48   
144   730.0   10.7146   6.1379   4.3218   1297.87   541.14   
145   750.0   10.8332   6.186   4.3449   1284.58   538.8   
146   760.0   10.7664   6.21   4.3565   1277.93   537.63   
147   809.5   10.9843   6.2424   4.4118   1269.44   531.91   
148   859.0   11.1111   6.2799   4.465   1260.68   526.32   
149   908.5   11.3182   6.3164   4.5162   1251.69   520.83   
150   958.0   11.3897   6.3519   4.5654   1243.02   515.46   
151   1007.5   11.4704   6.386   4.5926   1234.54   510.2   
152   1057.0   11.5493   6.4182   4.6198   1226.52   505.05   
153   1106.5   11.6265   6.4514   4.6467   1217.91   500.0   
154   1156.0   11.702   6.4822   4.6735   1210.02   495.05   
155   1205.5   11.7768   6.5131   4.7001   1202.04   490.2   
156   1255.0   11.8491   6.5431   4.7266   1193.99   485.44   
157   1304.5   11.9208   6.5728   4.7528   1186.06   480.77   
158   1354.0   11.9891   6.6009   4.779   1178.19   476.19   
159   1403.5   12.0571   6.6285   4.805   1170.53   471.7   
160   1453.0   12.1247   6.6554   4.8307   1163.16   467.29   
161   1502.5   12.1912   6.6813   4.8562   1156.04   462.96   
162   1552.0   12.2558   6.707   4.8817   1148.76   458.72   
163   1601.5   12.3181   6.7323   4.9069   1141.32   454.55   
164   1651.0   12.3813   6.7579   4.9321   1134.01   450.45   
165   1700.5   12.4427   6.782   4.957   1127.02   446.43   
166   1750.0   12.503   6.8056   4.9817   1120.09   442.48   
167   1799.5   12.5638   6.8289   5.0062   1108.58   436.68   
168   1849.0   12.6226   6.8517   5.0306   1097.16   431.03   
169   1898.5   12.6807   6.8743   5.0548   1085.97   425.53   
170   1948.0   12.7384   6.8972   5.0789   1070.38   418.41   
171   1997.5   12.7956   6.9194   5.1027   1064.23   414.94   
172   2047.0   12.8524   6.9416   5.1264   1058.03   411.52   
173   2096.5   12.9093   6.9625   5.1499   1048.09   406.5   
174   2146.0   12.9663   6.9852   5.1732   1042.07   403.23   
175   2195.5   13.0226   7.0069   5.1963   1032.14   398.41   
176   2245.0   13.0786   7.0286   5.2192   1018.38   392.16   
177   2294.5   13.1337   7.0504   5.242   1008.79   387.6   
178   2344.0   13.1895   7.0722   5.2646   999.44   383.14   
